"","GSM4452207_ctrl1","GSM4452208_ctrl2","GSM4452209_ctrl3","GSM4452210_ctrl4","GSM4452211_k10_1","GSM4452212_k10_2","GSM4452213_k10_3","GSM4452214_k10_4","GSM4452215_k20_1","GSM4452216_k20_2","GSM4452217_k20_3","GSM4452230_30_4","GSM4452218_k20_4","GSM4452229_30_3","GSM4452228_30_2","GSM4452227_30_1","GSM4452226_15_4","GSM4452225_15_3","GSM4452224_15_2","GSM4452223_15_1","GSM4452221_0_3","GSM4452222_0_4","GSM4452219_0_1","GSM4452220_0_2"
"ENSMUSG00000027456.8",-1.38283423943685,-1.12118532297123,-1.56325395815979,-1.50517422361915,-0.808525511970818,-1.23207479909388,-1.34342834283194,-1.29233402908217,18.9315685693242,3.9731517926191,-0.238501069078578,-0.0891971780036171,-0.403471947554126,-0.233708205982877,0.497796209259157,-0.5883760529638,2.13214767365299,-1.30819130162497,-1.92265152177726,-1.38231212765806,-1.59113570594022,-1.95226364234729,-1.50582230310317,-2.42570217407707
"ENSMUSG00000027457.12",2.17575284586001,2.15370923807262,2.07895249439584,2.22901428587648,2.19530634962021,1.97209976430134,2.02146979102098,2.01845350819999,18.9315685693242,3.9731517926191,1.03872721833797,-6.9093761404188,0.98164997382043,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027459.13",3.23059491658637,3.11523509025799,2.99221164531687,3.05020148111366,3.42315526400001,3.2880925788302,3.27606656384865,3.38949001089157,18.9315685693242,5.55811429334026,3.60166341272913,-6.9093761404188,3.54026747935621,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027460.7",1.60930364279018,1.69392604272081,1.79530305871829,1.85688198397352,1.4886346777676,1.61916776696472,1.52951492085324,1.42788830124946,18.9315685693242,3.9731517926191,0.0286030010642631,0.250495196359585,0.21693938917132,0.91735776820812,1.35726590025806,1.22205170314343,-0.705644981625414,2.04840937091717,2.28211522887736,1.8024479149472,2.21289119839963,2.2757184606848,2.05340992252457,2.22421576848486
"ENSMUSG00000027463.11",0.433453807390767,0.743351259733649,0.46733436167363,0.725123395802645,0.48237568729592,0.853092584168792,0.506431307740202,0.561815104454372,18.9315685693242,3.9731517926191,0.508212501639191,-6.9093761404188,0.628470944948628,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027465.10",6.52379497469784,6.51050653358065,6.49929336299055,6.52895456289441,6.44444181321046,6.48569423800181,6.38306707124136,6.42173532458826,18.9315685693242,6.29507988750647,6.27358651099115,-6.9093761404188,6.15911222605641,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027466.12",6.15463740618725,6.06397061802038,6.02663790722332,5.9831809296584,6.07333692863852,6.0515767278163,6.04908877474137,6.12551848580372,18.9315685693242,6.78050671467671,6.36895463644382,-6.9093761404188,6.23930720219977,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027469.13",7.07177797897431,7.10971877692779,7.00258254457046,7.06009876558334,7.29252815733288,7.29349891507979,7.17474445203666,7.29368775449869,18.9315685693242,7.6735915107602,7.77774064115304,-6.9093761404188,7.72573416462039,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027470.9",-1.99950559988534,-1.99112478240686,-1.83455597997719,-2.54264892903781,-1.60822686148499,-2.3540653234725,-1.64041008058907,-2.05417429188741,18.9315685693242,3.9731517926191,-0.238501069078578,-0.499985204281103,-0.741640683448699,-0.0575512508290498,-0.144441096813749,-0.279425812074647,1.10478277448181,-1.47325054789547,-1.61231140116511,-1.13615154038866,-2.844892298186,-3.016393979767,-1.69223542733405,-2.15006773146364
"ENSMUSG00000027472.11",5.6400159996255,5.62890539364161,5.66858435963003,5.55510600570538,5.53888382202004,5.66274296421406,5.71336688033763,5.54993571909456,18.9315685693242,6.29507988750647,5.61821458899298,-6.9093761404188,5.5503770184129,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
